message,can_id_hex,can_id_decimal,is_extended_frame,frame_bytes,senders,receivers,cycle_time_ms,comment,source_dbc,source_sha256
ODS13,0x5FC,1532,False,5,"[""ODS""]","[""ACU"", ""Dummy""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12,0x5FB,1531,False,8,"[""ODS""]","[""ACU""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS11,0x5FA,1530,False,8,"[""ODS""]","[""ACU"", ""BCM"", ""Dummy""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ECS12,0x3F9,1017,False,4,"[""ECS""]","[""AFLS""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
SPAS12,0x4F4,1268,False,8,"[""SPAS""]","[""AVM"", ""BCM"", ""CLU"", ""EMS""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
CLU11,0x4F1,1265,False,4,"[""CLU""]","[""AHLS"", ""AVM"", ""BCM"", ""CUBIS"", ""EMS"", ""EPB"", ""IBOX"", ""LCA"", ""LDWS_LKAS"", ""MDPS"", ""PGS"", ""SCC"", ""SPAS""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
Sign_Detection,0x4EC,1260,False,8,"[""XXX""]","[""XXX""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
TMU_GW_PE_01,0x5D4,1492,False,8,"[""CLU""]","[""DATC""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
HU_DATC_PE_00,0x5D3,1491,False,8,"[""CLU""]","[""DATC""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
HU_DATC_E_02,0x5D2,1490,False,8,"[""CLU""]","[""DATC""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
EMS21,0x5C7,1479,False,8,"[""EMS""]","[""CLU""]",,,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
