channel,message,signal,can_id_hex,can_id_decimal,is_extended_frame,frame_bytes,start_bit,bit_length,byte_order,signed,is_float,factor,offset,unit,minimum,maximum,receivers,is_multiplexer,multiplexer_signal,multiplexer_ids,choices,comment,source_dbc,source_sha256
ODS13.CR_Ods_ID,ODS13,CR_Ods_ID,0x5FC,1532,False,5,0,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS13.CR_Ods_Chksum_H,ODS13,CR_Ods_Chksum_H,0x5FC,1532,False,5,8,8,little_endian,False,False,1,0,,0.0,255.0,"[""Dummy""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS13.CR_Ods_Chksum_L,ODS13,CR_Ods_Chksum_L,0x5FC,1532,False,5,16,8,little_endian,False,False,1,0,,0.0,255.0,"[""Dummy""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS13.CR_Ods_RomID_H,ODS13,CR_Ods_RomID_H,0x5FC,1532,False,5,24,8,little_endian,False,False,1,0,,0.0,255.0,"[""Dummy""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS13.CR_Ods_RomID_L,ODS13,CR_Ods_RomID_L,0x5FC,1532,False,5,32,8,little_endian,False,False,1,0,,0.0,255.0,"[""Dummy""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum0,ODS12,CR_Ods_SerNum0,0x5FB,1531,False,8,0,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum1,ODS12,CR_Ods_SerNum1,0x5FB,1531,False,8,8,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum2,ODS12,CR_Ods_SerNum2,0x5FB,1531,False,8,16,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum3,ODS12,CR_Ods_SerNum3,0x5FB,1531,False,8,24,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum4,ODS12,CR_Ods_SerNum4,0x5FB,1531,False,8,32,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum5,ODS12,CR_Ods_SerNum5,0x5FB,1531,False,8,40,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
ODS12.CR_Ods_SerNum6,ODS12,CR_Ods_SerNum6,0x5FB,1531,False,8,48,8,little_endian,False,False,1,0,,0.0,255.0,"[""ACU""]",False,,[],{},,hyundai_kia_generic.dbc,b6c4a670ceaaacd5ff6326c9f2148df57138200b44513cce6848d951b135be0d
